coms_canonical_smiles,act_median_expert_0,class_activity_median_expert_1000_0
CCn1c(=O)cc(C(F)(F)F)c2cc3c(cc21)NC(C)(C)C=C3C,692.0,1
C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C,7042.0,0
CCCC1(C)CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1,42.0,1
CC1=CC(C)(C)N(C)c2cc3c(cc21)c(C(F)(F)F)cc(=O)n3C,46.0,1
CC1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)C1(C)C,57.0,1
CC(C)C1CC(C)(C)Nc2cc3nc(O)cc(C(F)(F)F)c3cc21,159.0,1
CC1=CC(C)(C)Nc2cc3c(cc21)c(C(F)(F)F)cc(=O)n3C,34.0,1
CC1(C)Cc2cc3c(C(F)(F)F)cc(O)nc3cc2NC1(C)C,83.0,1
CCC1CC(C)(C)Nc2cc3nc(O)cc(C(F)(F)F)c3cc21,27.0,1
CCC1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2NC1(C)C,46.0,1
CC1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2NC1(C)C,30.0,1
CC1=CC(C)(C)Nc2c1cc1c(C(F)(F)F)cc(O)nc1c2C,23.0,1
CC1=CC(C)(C)Nc2cc3nc(O)cc(C(F)(F)F)c3cc21,28.0,1
CC1CC(C)(C)Nc2cc3nc(O)cc(C(F)(F)F)c3cc21,26.0,1
CC1=CC(C)(C)Nc2cc3nc(O)cc(C)c3cc21,36.0,1
CCC1(C)CCc2cc3c(C(F)(F)F)cc(=O)n(C)c3cc2N1C,24.0,1
CN1c2cc3c(cc2CCC1(C)C)c(C(F)(F)F)cc(=O)n3C,19.0,1
CC1=CC(C)(C)N(C)c2cc3nc(O)cc(C(F)(F)F)c3cc21,156.0,1
CCC1(C)CCc2cc3c(C(F)(F)F)cc(=O)n(C)c3cc2N1,48.0,1
C[C@@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N1,7.0,1
CCCN1c2cc3c(cc2[C@H]2CCCC[C@H]21)c(C(F)(F)F)cc(=O)n3C,27.0,1
CCn1c(=O)cc(C(F)(F)F)c2cc3c(cc21)N[C@@H]1CCCC[C@H]31,230.0,1
CN1c2cc3c(cc2[C@H]2CCCC[C@H]21)c(C(F)(F)F)cc(=O)n3C,36.0,1
C[C@H]1N(C)c2cc3c(cc2C1(C)C)c(C(F)(F)F)cc(=O)n3C,56.0,1
C[C@H]1Nc2cc3c(cc2C1(C)C)c(C(F)(F)F)cc(=O)n3C,22.0,1
C[C@H]1Nc2cc3nc(O)cc(C(F)(F)F)c3cc2C1(C)C,48.0,1
C[C@H]1CC[C@@H]2[C@H](C1)c1cc3c(C(F)(F)F)cc(=O)n(C)c3cc1N2C,54.0,1
C[C@H]1CC[C@H]2Nc3cc4c(cc3[C@H]2C1)c(C(F)(F)F)cc(=O)n4C,48.0,1
CN1CCc2cc3c(C(F)(F)F)cc(=O)n(C)c3cc21,197.0,1
CN1c2cc3c(cc2[C@H]2CCCC(C)(C)[C@H]21)c(C(F)(F)F)cc(=O)n3C,27.0,1
CC1(C)CCC[C@@H]2c3cc4c(C(F)(F)F)cc(O)nc4cc3N[C@@H]21,26.0,1
Cn1c(=O)cc(C(F)(F)F)c2cc3c(cc21)NCC3,56.0,1
C[C@@H]1c2cc3c(C(F)(F)F)cc(=O)n(C)c3cc2N[C@@H]1C,9182.0,0
CC1(C)CNc2cc3nc(O)cc(C(F)(F)F)c3cc21,10.0,1
CC1(C)CCC[C@]2(C)c3cc4c(C(F)(F)F)cc(O)nc4cc3N[C@H]12,51.0,1
CN1c2cc3c(cc2[C@@]2(C)CCCC[C@@H]12)c(C(F)(F)F)cc(=O)n3C,53.0,1
Oc1cc(C(F)(F)F)c2cc3c(cc2n1)NCC3,23.0,1
O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1,35.0,1
O=C1[C@@H]2C3CCC(C3)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1,9.5,1
O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])c(C(F)(F)F)c1,119.0,1
O=C1[C@@H]2C3CCC(C3)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])c(C(F)(F)F)c1,12.0,1
O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1ccc(O)c2ncccc12,418.0,1
O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])c2ccccc12,5.0,1
