smiles molregno
C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2CC2CC(F)(F)C2)c2ccccc12)C(F)(F)F 2261828
Cn1cncc1C(O)(c1ccc2nc(Cl)c(-c3ccccc3)c(Cl)c2c1)c1ccnc2ccccc12 2283216
COc1ccc2c(c1)CCN(C(=O)c1cc(O)no1)[C@H]2C(=O)Nc1cc(F)c([Si](C)(C)C)c(F)c1 2284244
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc3c(ccn3CCc3ccc(Cl)cc3Cl)c2)cc1 1614433
CC(C)CN(Cc1ccc(OC2CCN(S(C)(=O)=O)CC2)cc1)S(=O)(=O)Cc1ccccc1 1780752
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc3c(ccn3CCc3ccc(C#N)cc3)c2)cc1 1614429
CC(C)CN(Cc1ccccc1C(F)(F)F)S(=O)(=O)c1ccc(NC2CCN(S(C)(=O)=O)CC2)cc1 1825235
CC(C)CN(Cc1ccccc1C(F)(F)F)S(=O)(=O)c1ccc(OC2CCN(S(C)(=O)=O)CC2)cc1 1825237
CCOc1ccccc1CN1CCc2cc(NC(=O)[C@H]3c4ccc(OC)nc4CCN3C(=O)CCCC(=O)O)ccc21 2353149
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc3c(ccn3CCc3ccccc3C(F)(F)F)c2)cc1 1614431
CC(C)CN(Cc1ccc(NC2CCN(S(C)(=O)=O)CC2)cc1)S(=O)(=O)Cc1ccccc1 2103673
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)c3cc(Cl)cc(Cl)c3)c(F)c2)CC1 1947601
O=C(O)c1ccc(-n2cc(C(=O)c3c(Cl)cccc3C(F)(F)F)c3cccc(F)c32)cc1 2437868
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc3c(ccn3CCc3ccc(OC(C)C)cc3)c2)cc1 1614430
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc3c(ccn3CCc3ccc(Cl)c(Cl)c3)c2)cc1 1614523
C[C@H](NS(=O)(=O)c1ccc(-c2sc(-c3nnc(CC(C)(C)C(=O)O)o3)nc2CC2CCC2)c2ccccc12)C(F)(F)F 2479001
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(=O)NC)nn2C(C)C)cc1N1CC2CC2C1 1955023
CCCN(CC)C(=O)c1nc(C(=O)NCC(C)(C)O)sc1-c1ccc(S(=O)(=O)N[C@@H](C)C(F)(F)F)c(Cl)c1Cl 2483372
CC(CC(=O)Nc1ccc(C#N)c(Cl)c1)CC(=O)Nc1ccc2c(c1)c(=O)n(CC1CC1)c(=O)n2CC1CC1 2301398
C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NC3CCS(=O)(=O)CC3)nc2CC2CC2)c2ccccc12)C(F)(F)F 2260725
CC(=O)Nc1cc(-c2cnc(N(C)C(=O)c3c(F)cccc3Cl)c(N3CCCCC3)c2)n(C(C)C)n1 1955036
C[C@H](NS(=O)(=O)c1cc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)cc(C(C)(C)C)c1)C(F)(F)F 2260118
CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(Cl)c(-c3ccccc3OC(F)(F)F)c(C#N)c2)cc1 1960268
CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccc(Cl)c3)c(C(=O)c3ccccc3F)s2)cc1 1613764
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccccc3OC(F)(F)F)c(C(F)(F)F)c2)cc1 1960263
CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(Cl)c(-c3ccccc3C#N)c(Cl)c2)cc1 1960273
Cc1cc(NC(=O)Cc2ccc(S(C)(=O)=O)cc2)ccc1-c1ccc(Cl)cc1OC(F)(F)F 1960276
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccc(Cl)cc3OC(F)(F)F)c(Cl)c2)cc1 1960278
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2CC2CC2)cc1N1CC2CC2C1 1955034
O=C(O)c1ccc(-n2cc(C(=O)c3c(Cl)cccc3Cl)c3cccc(F)c32)cc1 2448816
OC(c1ccncc1)(c1ccc2nc(Cl)c(Cc3ccc(Cl)cc3)c(Cl)c2c1)c1cncs1 1786552
O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C(F)(F)F)c3cccc(F)c23)c(F)c1 2356365
COc1nc2ccc(C(O)(c3cnnn3C)c3cnnn3C)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1 2161448
CC(C)C(=O)N1CCC(c2cn(C)c3ncc(NC(=O)c4cccc(C#N)c4)c(C(F)(F)F)c23)CC1 2318354
C[C@H]1CC[C@H](c2ccccc2)S(=O)(=O)N1Cc1ccc(N2CCC3(CC2)C(=O)N(C)C(=O)N3C)cc1F 1969966
CC(=O)N1CCN(c2ccc(CN(CC(C)C)S(=O)(=O)Cc3ccccc3)c(F)c2)CC1 2146282
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)c3ccc(Cl)c(Cl)c3)c(F)c2)CC1 1780751
CC(C)CN(Cc1ccccc1C(F)(F)F)S(=O)(=O)c1ccc(C(=O)C2CCN(S(C)(=O)=O)CC2)cc1 1825238
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)Oc3ccccc3)c(F)c2)CC1 1990479
CCS(=O)(=O)c1ccc(C(NC(C)=O)C(=O)Nc2cc(-c3cccnc3OCc3ccccc3)cs2)cc1 2276939
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)NC3CCS(=O)(=O)CC3)nc2C(C)(C)C)c2ccccc12 2259675
CCOc1ccccc1CN1CCc2cc(NC(=O)[C@H]3c4ccc(OC)nc4CCN3C(C)=O)ccc21 2355693
O=C(O)c1ccc(-n2cc(C(=O)c3c(Cl)cccc3Cl)c3cccc(F)c32)c(F)c1 2362141
O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C(F)(F)F)c3ccccc23)cc1 1955101
C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2CC2CC2)c2ccccc12)C(F)(F)F 2259767
CS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccc(Cl)cc3OC(F)(F)F)c(Cl)c2)cc1 1960277
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccccc3C(F)(F)F)c(Cl)c2)cc1 1960255
CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccc(Cl)c3)c(C(=O)c3cccc(Cl)c3)s2)cc1 1613763
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccccc3OC(F)(F)F)cc2)cc1 1960260
CC(C)(O)CNC(=O)c1nc(C(=O)N2CCC(F)CC2)c(-c2ccc(S(=O)(=O)N[C@@H](C(C)(C)C)C(F)(F)F)c(Cl)c2Cl)s1 2482975
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc3c(ccn3CCc3ccc(F)cc3)c2)cc1 1614427
C[C@H](NS(=O)(=O)c1ccc(-c2sc(-c3cc(CC(C)(C)C(=O)O)on3)nc2CC2CCC2)c(Cl)c1Cl)C(F)(F)F 2485645
CC(C)[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2C(=O)N2CCC(F)CC2)c(Cl)c1Cl)C(F)(F)F 2481446
CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccc(Cl)c3)c(C(=O)c3ccccc3Cl)s2)cc1 1613786
CC(C)CN(c1cccc(F)c1)S(=O)(=O)c1ccc(OC2CCN(S(C)(=O)=O)CC2)cc1 1825242
CC(C)(O)CNC(=O)c1nc(C(=O)N2CCC(F)(F)CC2)c(-c2ccc(S(=O)(=O)NC3(C(F)(F)F)CC3)c(Cl)c2Cl)s1 2472424
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(C(C)(C)C(=O)Nc3cc(Cl)ccn3)cc2)cc1 2326051
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C(C)C2CC2)cc1N1CC2CC2C1 1955035
COc1ccc2c(n1)CCN(C(=O)[C@H]1C[C@H](CC(=O)O)C1)[C@H]2C(=O)Nc1cc(F)c2c(c1)CCC2(C)C 2210628
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C(C)C)cc1N1CCCC1 1955008
C[C@H]1CCCCN1C(=O)c1nc(C(=O)NCC(C)(C)O)sc1-c1ccc(S(=O)(=O)N[C@@H](C)C(F)(F)F)c(Cl)c1Cl 2471131
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N3CC4(CCS(=O)(=O)CC4)C3)nc2CC2CCCCC2)c2ccccc12 1780717
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)NC34CC(C(=O)O)(C3)C4)nc2CC2CCCCC2)c2ccccc12 2259456
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)c3cc(Cl)ccc3Cl)c(F)c2)CC1 2102314
CC(C)Cc1nc(-c2nnc(CC(C)(C)C(=O)O)o2)sc1-c1ccc(S(=O)(=O)N[C@@H](C)C(F)(F)F)c(F)c1C(F)F 2473561
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2C(=O)N2CCC(F)(F)CC2)c(Cl)c1Cl)C(F)(F)F 2472999
C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)C#N)nc2C(=O)N2CCC(F)CC2)c(Cl)c1Cl)C(F)(F)F 2480331
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)Cc3ccccc3Cl)c(F)c2)CC1 1947596
COc1nc2ccc(C(O)(c3cnnn3C)c3cnc(C)n3C)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1 2282326
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ncc(-c2cc(NC(C)=O)nn2C(C)C)cc1N1CC2CC2C1 1955014
CC(=O)N1CCN(c2ccc(S(=O)(=O)N(Cc3ccccc3C(F)(F)F)CC(C)C)cc2)CC1 1825234
CCN(C(=O)c1nc(C(=O)NCC(C)(C)O)sc1-c1ccc(S(=O)(=O)N[C@@H](C)C(F)(F)F)c(Cl)c1Cl)C12CC(C1)C2 2486433
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(=O)N3CC(O)C3)nn2C(C)C)cc1N1CC2CC2C1 1955025
CC(C)(C)c1cc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)cc(C(O)(C(F)(F)F)C(F)(F)F)c1 2258381
