molregno,standard_value_get_mean,standard_units_get_levels,standard_type_get_levels,chembl_id_compound_get_levels,canonical_smiles_get_levels,act_0,act_1,act_2,act_3,act_4
2183286,18.433333333333334,nM,Kd,CHEMBL3973915,COc1nc2ccc(C(O)(c3ccc(C(F)(F)F)nc3)c3cncn3C)cc2c(Cl)c1Cc1cc2ccccc2s1,3.5,7.8,44.0,,
2183968,27.099999999999998,nM,Kd,CHEMBL3974597,CON(C)c1nc2ccc(C(O)(c3ccc(C(F)(F)F)nc3)c3cncn3C)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,6.3,18.0,57.0,,
2184831,552.9333333333333,nM,Kd,CHEMBL3975460,COc1nc2c(C)cc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,5.8,53.0,1600.0,,
2184906,10.0,nM,Kd,CHEMBL3975535,OC(c1cccnc1)(c1cccc(F)c1)c1ccc2nc(Cl)c(Cc3ccc(-n4cccn4)cc3)c(Cl)c2c1,10.0,,,,
2187415,35.0,nM,Kd,CHEMBL3978044,CN(c1ccccc1)c1c(Cl)nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c1Cl,35.0,,,,
2187892,0.09666666666666666,nM,Kd,CHEMBL3978521,COc1nc2ccc(C(O)(c3cnnn3C)c3cnc(C)n3C)cc2c(C#N)c1Cc1ccc(C(F)(F)F)cc1,0.05,0.12,,,
2189830,3100.0,nM,Kd,CHEMBL3980459,C#CC(O)(c1ccc2nc(OC)c(Cc3ccc(C(F)(F)F)cc3)c(Cl)c2c1)C1CN(C(=O)OC(C)(C)C)C1,3100.0,,,,
2189971,40.266666666666666,nM,Kd,CHEMBL3980600,COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(C#N)c1Cc1ccc(C(F)(F)F)cc1,0.28,0.52,120.0,,
2190742,14.0,nM,Kd,CHEMBL3981371,COc1ccc(C(O)(c2ccc3nc(Cl)c(Oc4ccccc4)c(Cl)c3c2)c2cncn2C)cn1,14.0,,,,
2191291,21.0,nM,Kd,CHEMBL3981920,COc1nc2ccc(C(O)(c3ccc(F)cc3)c3cccnc3)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,21.0,,,,
