molregno,standard_value_get_mean,standard_units_get_levels,standard_type_get_levels,chembl_id_compound_get_levels,canonical_smiles_get_levels,act_0,act_1,act_2,act_3
2281153,93.0,%,Imax,CHEMBL4203002,CCS(=O)(=O)c1ccc(CNC(=O)c2ccc3[nH]c4ccccc4c3c2)cc1,93.0,,,
2284286,161.0,%,Imax,CHEMBL4206135,CCn1c2ccc(Cl)cc2c2cc(C(=O)NCc3ccc(S(=O)(=O)CC)cc3)ccc21,161.0,,,
2284802,112.0,%,Imax,CHEMBL4206651,CCn1c2ccc(C)cc2c2cc(C(=O)NCc3ccc(S(=O)(=O)CC)cc3)ccc21,112.0,,,
2285509,141.0,%,Imax,CHEMBL4207358,CCn1c2c(c3cc(C(=O)NCc4ccc(S(=O)(=O)CC)cc4)ccc31)CCC2,141.0,,,
2285946,126.0,%,Imax,CHEMBL4207795,CCS(=O)(=O)c1ccc(CNC(=O)c2ccc3c(c2)c2ccccc2n3C(C)C)cc1,126.0,,,
2287728,103.0,%,Imax,CHEMBL4209577,CCn1c2ccc(C(=O)NCc3ccc(S(=O)(=O)CC)cc3)cc2c2ncccc21,103.0,,,
2287810,134.0,%,Imax,CHEMBL4209659,CCn1ccc2cc(C(=O)NCc3ccc(S(=O)(=O)CC)cc3)ccc21,134.0,,,
2288260,61.0,%,Imax,CHEMBL4210109,CCn1c2ccccc2c2cc(NC(=O)CNC(=O)Cc3ccc(S(=O)(=O)CC)cc3)ccc21,61.0,,,
2289176,149.0,%,Imax,CHEMBL4211025,CCn1c2ccc(F)cc2c2cc(C(=O)NCc3ccc(S(=O)(=O)CC)cc3)ccc21,149.0,,,
2289750,158.0,%,Imax,CHEMBL4211599,CCn1c2ccccc2c2cc(C(=O)NCc3ccc(S(=O)(=O)CC)cn3)ccc21,158.0,,,
2289869,151.0,%,Imax,CHEMBL4211718,CCn1c2c(c3cc(C(=O)NCc4ccc(S(=O)(=O)CC)cc4)ccc31)CCCC2,151.0,,,
2290845,115.0,%,Imax,CHEMBL4212694,CCS(=O)(=O)c1ccc(CNC(=O)c2ccc3c(c2)c2ccccc2n3CC2CC2)cc1,115.0,,,
2290949,150.0,%,Imax,CHEMBL4212798,CCCn1c2ccccc2c2cc(C(=O)NCc3ccc(S(=O)(=O)CC)cc3)ccc21,150.0,,,
2291138,156.0,%,Imax,CHEMBL4212987,CCn1c2ccccc2c2cc(NC(=O)Cc3ccc(S(=O)(=O)CC)cc3)ccc21,156.0,,,
2291165,161.0,%,Imax,CHEMBL4213014,CCn1c2ccccc2c2cc(C(=O)NCc3ccc(S(=O)(=O)NC)cc3)ccc21,161.0,,,
2292129,82.0,%,Imax,CHEMBL4213978,CCS(=O)(=O)c1ccc(CNC(=O)c2ccc3c(c2)c2ccccc2n3CC2CCC2)cc1,82.0,,,
2292638,32.0,%,Imax,CHEMBL4214487,CCS(=O)(=O)c1ccc(CNC(=O)c2ccc3c(c2)c2ccccc2n3CC2CCCCC2)cc1,32.0,,,
2293182,61.0,%,Imax,CHEMBL4215031,CCn1c2ccccc2c2cc(NC(=O)NCc3ccc(S(=O)(=O)CC)cc3)ccc21,61.0,,,
2294720,140.0,%,Imax,CHEMBL4216569,CCS(=O)(=O)c1ccc(CNC(=O)c2ccc3c(c2)c2ccccc2n3C)cc1,140.0,,,
2294903,153.0,%,Imax,CHEMBL4216752,CCn1c2ccccc2c2cc(C(=O)NCc3ccc(S(=O)(=O)CC)cc3)ccc21,153.0,,,
2296098,169.0,%,Imax,CHEMBL4217947,CCCS(=O)(=O)c1ccc(CNC(=O)c2ccc3c(c2)c2ccccc2n3CC)cc1,169.0,,,
2296530,167.0,%,Imax,CHEMBL4218379,CCn1c2ccccc2c2cc(C(=O)NCc3ccc(S(C)(=O)=O)cc3)ccc21,167.0,,,
2297055,91.0,%,Imax,CHEMBL4218904,CCS(=O)(=O)c1ccc(CNC(=O)c2ccc3c(c2)c2ccccc2n3CC(C)C)cc1,91.0,,,
2318354,90.0,%,Imax,CHEMBL4278903,CC(C)C(=O)N1CCC(c2cn(C)c3ncc(NC(=O)c4cccc(C#N)c4)c(C(F)(F)F)c23)CC1,90.0,,,
2323319,96.0,%,Imax,CHEMBL4283871,N#Cc1cccc(C(=O)Nc2ccc3[nH]cc(C4CCN(C(=O)C5CCCC5)CC4)c3c2)c1,96.0,,,
2331175,90.0,%,Imax,CHEMBL4291727,Cn1cc(C2CCN(C(=O)C3CCCC3)CC2)c2cc(NC(=O)c3cccc(C#N)c3)ccc21,90.0,,,
