,COMPOUND
3619,Compound(135971369)
3620,Compound(45488873)
3621,Compound(45488874)
3622,Compound(135483312)
3623,Compound(45488876)
3624,Compound(42743686)
3625,Compound(3132515)
3626,Compound(45488877)
3627,Compound(4337523)
3628,Compound(45488878)
3629,Compound(15775221)
3630,Compound(45488879)
3631,Compound(3132489)
3632,Compound(3540996)
3633,Compound(1895808)
3634,Compound(3132484)
3635,Compound(3132505)
3636,Compound(3557862)
3637,Compound(12440812)
3638,Compound(5121567)
3639,Compound(135440784)
3640,Compound(3141951)
3641,Compound(766691)
3642,Compound(135444484)
3643,Compound(1046519)
3644,Compound(2803756)
3645,Compound(135609775)
3646,Compound(3600940)
3647,Compound(4346175)
3648,Compound(6615747)
3649,Compound(2802127)
3650,Compound(45488882)
3651,Compound(4688900)
3652,Compound(3702043)
3653,Compound(5913822)
3654,Compound(45488883)
3655,Compound(3132468)
3656,Compound(2942223)
3657,Compound(19081934)
3658,Compound(45488884)
3659,Compound(3108356)
3660,Compound(16018404)
3661,Compound(17060568)
3662,Compound(135971370)
3663,Compound(4152572)
3664,Compound(3132559)
3665,Compound(4268372)
3666,Compound(2937942)
3667,Compound(3132431)
3668,Compound(45488886)
3669,Compound(3182673)
3670,Compound(45488887)
3671,Compound(3127867)
3672,Compound(42743629)
3673,Compound(45488889)
3674,Compound(2863365)
3675,Compound(3124416)
3676,Compound(3132562)
3677,Compound(2863616)
3678,Compound(16013932)
3679,Compound(45488890)
3680,Compound(3132503)
3681,Compound(45165071)
3682,Compound(45488891)
3683,Compound(3132487)
3684,Compound(3132444)
3685,Compound(135971371)
3686,Compound(2725287)
3687,Compound(2863956)
3688,Compound(824226)
3689,Compound(22549208)
3690,Compound(3728444)
3691,Compound(2864816)
3692,Compound(3904265)
3693,Compound(2854617)
3694,Compound(753602)
3695,Compound(3111530)
3696,Compound(45488893)
3697,Compound(825265)
3698,Compound(3122523)
3699,Compound(2863804)
3700,Compound(2258987)
3701,Compound(2863600)
3702,Compound(22549203)
3703,Compound(16012428)
3704,Compound(135971372)
3705,Compound(16196867)
3706,Compound(3132430)
3707,Compound(4329630)
3708,Compound(3132506)
3709,Compound(2829281)
3710,Compound(5307102)
3711,Compound(22549211)
3712,Compound(16668113)
3713,Compound(8934)
3714,Compound(3132579)
3715,Compound(3103140)
3716,Compound(2863507)
3717,Compound(2867618)
3718,Compound(4991769)
3719,Compound(2864901)
3720,Compound(135543973)
3721,Compound(2832738)
3722,Compound(2866509)
3723,Compound(5058292)
3724,Compound(2922155)
3725,Compound(135497760)
3726,Compound(135971373)
3727,Compound(1246654)
3728,Compound(3132571)
3729,Compound(8547)
3730,Compound(1894847)
3731,Compound(986234)
3732,Compound(22549247)
3733,Compound(13497285)
3734,Compound(3132574)
3735,Compound(5728517)
3736,Compound(45488897)
3737,Compound(9995582)
3738,Compound(45488898)
3739,Compound(2863839)
3740,Compound(3132577)
3741,Compound(3128840)
3742,Compound(2864356)
3743,Compound(2852165)
3744,Compound(3132597)
3745,Compound(2863577)
3746,Compound(2864396)
3747,Compound(4509211)
3748,Compound(1576475)
3749,Compound(45488899)
3750,Compound(45049294)
3751,Compound(45488900)
3752,Compound(13299097)
3753,Compound(949005)
3754,Compound(3571948)
3755,Compound(6611418)
3756,Compound(2846920)
3757,Compound(45488903)
3758,Compound(3101201)
3759,Compound(45488904)
3760,Compound(45488905)
3761,Compound(45488905)
3762,Compound(3124456)
3763,Compound(45488906)
3764,Compound(84191)
3765,Compound(5752847)
3766,Compound(135509290)
3767,Compound(2766094)
3768,Compound(24214230)
3769,Compound(36332)
3770,Compound(911460)
3771,Compound(3092494)
3772,Compound(1202802)
3773,Compound(4689885)
3774,Compound(767942)
3775,Compound(45047950)
3776,Compound(42743587)
3777,Compound(16192822)
3778,Compound(20909986)
3779,Compound(2855329)
3780,Compound(661075)
3781,Compound(4000228)
3782,Compound(22429361)
3783,Compound(3108923)
3784,Compound(45488907)
3785,Compound(3170874)
3786,Compound(828170)
3787,Compound(45105966)
3788,Compound(17575857)
3789,Compound(1475299)
3790,Compound(16432354)
3791,Compound(42724176)
3792,Compound(71826)
3793,Compound(45488909)
3794,Compound(6175166)
3795,Compound(6175166)
3796,Compound(775311)
3797,Compound(45488910)
3798,Compound(2229279)
3799,Compound(45488911)
3800,Compound(23823081)
3801,Compound(2920563)
3802,Compound(135971374)
3803,Compound(4991341)
3804,Compound(7514091)
3805,Compound(7514091)
3806,Compound(1283112)
3807,Compound(4451950)
3808,Compound(45488913)
3809,Compound(2859122)
3810,Compound(666425)
3811,Compound(3997700)
3812,Compound(1159989)
3813,Compound(1472090)
3814,Compound(3515364)
3815,Compound(45488914)
3816,Compound(407550)
3817,Compound(42743605)
3818,Compound(946397)
3819,Compound(3172703)
3820,Compound(3101088)
3821,Compound(3401702)
3822,Compound(5997019)
3823,Compound(45488915)
3824,Compound(13429065)
3825,Compound(54586790)
3826,Compound(3240640)
3827,Compound(5307341)
3828,Compound(22334648)
3829,Compound(3100198)
3830,Compound(45488917)
3831,Compound(45488918)
3832,Compound(45488919)
3833,Compound(42743643)
3834,Compound(5907152)
3835,Compound(5907152)
3836,Compound(45206338)
3837,Compound(45488920)
3838,Compound(20868507)
3839,Compound(45488921)
3840,Compound(73243515)
3841,Compound(3240925)
3842,Compound(3521559)
3843,Compound(12065944)
3844,Compound(1100580)
3845,Compound(6036291)
3846,Compound(1003945)
3847,Compound(16013327)
3848,Compound(5141742)
3849,Compound(2914369)
3850,Compound(836256)
3851,Compound(1919229)
3852,Compound(3089972)
3853,Compound(135846642)
3854,Compound(135846642)
3855,Compound(3950255)
3856,Compound(42743612)
3857,Compound(16011897)
3858,Compound(16000555)
3859,Compound(135761054)
3860,Compound(2845963)
3861,Compound(179913)
3862,Compound(1182675)
3863,Compound(1378297)
3864,Compound(2809036)
3865,Compound(45488923)
3866,Compound(3093700)
3867,Compound(3093700)
3868,Compound(135957482)
3869,Compound(56688340)
3870,Compound(11184245)
3871,Compound(1375158)
3872,Compound(3096145)
3873,Compound(1223785)
3874,Compound(3675227)
3875,Compound(1072823)
3876,Compound(42743598)
3877,Compound(45488924)
3878,Compound(42743689)
3879,Compound(45488925)
3880,Compound(4106454)
3881,Compound(45230614)
3882,Compound(749188)
3883,Compound(2790176)
3884,Compound(45488927)
3885,Compound(45488928)
3886,Compound(45488929)
3887,Compound(5291397)
3888,Compound(778306)
3889,Compound(45488930)
3890,Compound(3522062)
3891,Compound(42743579)
3892,Compound(3710678)
3893,Compound(1219320)
3894,Compound(9926533)
3895,Compound(12238924)
3896,Compound(3591030)
3897,Compound(45488931)
3898,Compound(135404028)
3899,Compound(135404028)
3900,Compound(4063261)
3901,Compound(45488932)
3902,Compound(2246042)
3903,Compound(3104164)
3904,Compound(45488933)
3905,Compound(4600128)
3906,Compound(2203009)
3907,Compound(3250873)
3908,Compound(136402)
3909,Compound(45488934)
3910,Compound(240921)
3911,Compound(45208278)
3912,Compound(3712139)
3913,Compound(16672374)
3914,Compound(2828866)
3915,Compound(52942986)
3916,Compound(42724253)
3917,Compound(5752015)
3918,Compound(42724231)
3919,Compound(697226)
3920,Compound(45488936)
3921,Compound(45488937)
3922,Compound(750237)
3923,Compound(5003569)
3924,Compound(2849359)
3925,Compound(2957593)
3926,Compound(4163674)
3927,Compound(4372959)
3928,Compound(1184135)
3929,Compound(15504518)
3930,Compound(42743672)
3931,Compound(3096317)
3932,Compound(1049286)
3933,Compound(3093646)
3934,Compound(3101356)
3935,Compound(4664792)
3936,Compound(44170281)
3937,Compound(135444108)
3938,Compound(135444108)
3939,Compound(4568693)
3940,Compound(1394169)
3941,Compound(45488938)
3942,Compound(16187605)
3943,Compound(4649048)
3944,Compound(42743596)
3945,Compound(2870709)
3946,Compound(11891365)
3947,Compound(44170442)
3948,Compound(23828108)
3949,Compound(2280856)
3950,Compound(822611)
3951,Compound(607385)
3952,Compound(5289661)
3953,Compound(5307635)
3954,Compound(20888909)
3955,Compound(830535)
3956,Compound(2270493)
3957,Compound(3525101)
3958,Compound(45488939)
3959,Compound(45191334)
3960,Compound(16017878)
3961,Compound(540327)
3962,Compound(2747367)
3963,Compound(2863485)
3964,Compound(416185)
3965,Compound(3132432)
3966,Compound(7433640)
3967,Compound(3132501)
3968,Compound(2905901)
3969,Compound(135461441)
3970,Compound(2863762)
3971,Compound(2864748)
3972,Compound(23602303)
3973,Compound(3132499)
3974,Compound(3132522)
3975,Compound(45488940)
3976,Compound(45488941)
3977,Compound(44170011)
3978,Compound(45488942)
3979,Compound(5901639)
3980,Compound(2863531)
3981,Compound(5195088)
3982,Compound(3132555)
3983,Compound(3869648)
3984,Compound(2864014)
3985,Compound(3132471)
3986,Compound(3132440)
3987,Compound(1464166)
3988,Compound(45488943)
3989,Compound(2864128)
3990,Compound(135971375)
3991,Compound(3138016)
3992,Compound(2864666)
3993,Compound(45488945)
3994,Compound(3132527)
3995,Compound(3132517)
3996,Compound(2864541)
3997,Compound(45248240)
3998,Compound(45488946)
3999,Compound(2864165)
4000,Compound(135450391)
4001,Compound(45167105)
4002,Compound(45183386)
4003,Compound(45488947)
4004,Compound(2864758)
4005,Compound(45488948)
4006,Compound(3499717)
4007,Compound(416641)
4008,Compound(3132547)
4009,Compound(3132449)
4010,Compound(3132548)
4011,Compound(3132553)
4012,Compound(42723446)
4013,Compound(3132602)
4014,Compound(5037142)
4015,Compound(3132438)
4016,Compound(3132569)
4017,Compound(3132455)
4018,Compound(3132475)
4019,Compound(3132516)
4020,Compound(135529281)
4021,Compound(3132590)
4022,Compound(3132536)
4023,Compound(3132604)
4024,Compound(1373592)
4025,Compound(45223118)
4026,Compound(3132596)
4027,Compound(4565464)
4028,Compound(45488949)
4029,Compound(3132526)
4030,Compound(6805740)
4031,Compound(45488950)
4032,Compound(4282419)
4033,Compound(45488951)
4034,Compound(3132463)
4035,Compound(3132601)
4036,Compound(3132545)
4037,Compound(3132479)
4038,Compound(2799252)
4039,Compound(1894679)
4040,Compound(22431833)
4041,Compound(45488952)
4042,Compound(45488953)
4043,Compound(2858692)
4044,Compound(5719459)
4045,Compound(3578503)
4046,Compound(2951665)
4047,Compound(1314377)
4048,Compound(3659710)
4049,Compound(45488955)
4050,Compound(45488956)
4051,Compound(5240501)
4052,Compound(4400747)
4053,Compound(5749166)
4054,Compound(830246)
4055,Compound(580842)
4056,Compound(5759272)
4057,Compound(45488957)
4058,Compound(45488958)
4059,Compound(3093860)
4060,Compound(241362)
4061,Compound(556668)
4062,Compound(24793108)
4063,Compound(596481)
4064,Compound(3191791)
4065,Compound(107834)
4066,Compound(2859595)
4067,Compound(4224502)
4068,Compound(45488959)
4069,Compound(4091279)
4070,Compound(172975)
4071,Compound(45488960)
4072,Compound(1190945)
4073,Compound(3104866)
4074,Compound(5480901)
4075,Compound(3503468)
4076,Compound(45488961)
4077,Compound(4526041)
4078,Compound(873755)
4079,Compound(45488962)
4080,Compound(5008754)
4081,Compound(45187414)
4082,Compound(3793309)
4083,Compound(45488963)
4084,Compound(1737427)
4085,Compound(2887079)
4086,Compound(4428412)
4087,Compound(2828902)
4088,Compound(45488964)
4089,Compound(44171237)
4090,Compound(15016758)
4091,Compound(16018448)
4092,Compound(118387)
4093,Compound(42716024)
4094,Compound(1826456)
4095,Compound(45488965)
4096,Compound(1489417)
4097,Compound(935473)
4098,Compound(5704500)
4099,Compound(3090203)
4100,Compound(42743606)
4101,Compound(45204262)
4102,Compound(3512620)
4103,Compound(17358157)
4104,Compound(3979691)
4105,Compound(2255577)
4106,Compound(45225621)
4107,Compound(1187333)
4108,Compound(135403787)
4109,Compound(135403787)
4110,Compound(2979608)
4111,Compound(2726663)
4112,Compound(16022838)
4113,Compound(737537)
4114,Compound(42743646)
4115,Compound(135495687)
4116,Compound(135533129)
4117,Compound(1399892)
4118,Compound(4521382)
4119,Compound(693334)
4120,Compound(2981700)
4121,Compound(3217188)
4122,Compound(45488967)
4123,Compound(3146823)
4124,Compound(15990032)
4125,Compound(20862755)
4126,Compound(16189974)
4127,Compound(45488968)
4128,Compound(11837127)
4129,Compound(3176373)
4130,Compound(1416114)
4131,Compound(14793287)
4132,Compound(759213)
4133,Compound(5334104)
4134,Compound(45488969)
4135,Compound(45488970)
4136,Compound(4101317)
4137,Compound(45488971)
4138,Compound(157284)
4139,Compound(6277726)
4140,Compound(16034122)
4141,Compound(3346993)
4142,Compound(3416185)
4143,Compound(45488972)
4144,Compound(1045967)
4145,Compound(45488973)
4146,Compound(45488974)
4147,Compound(1961759)
4148,Compound(2827552)
4149,Compound(2827552)
4150,Compound(5943987)
4151,Compound(735851)
4152,Compound(886392)
4153,Compound(45488976)
4154,Compound(6485159)
4155,Compound(699301)
4156,Compound(45488977)
4157,Compound(45488978)
4158,Compound(3094354)
4159,Compound(6624353)
4160,Compound(45488979)
4161,Compound(5334594)
4162,Compound(11666742)
4163,Compound(45488980)
4164,Compound(1592196)
4165,Compound(135971376)
4166,Compound(3177235)
4167,Compound(3172641)
4168,Compound(575337)
4169,Compound(13871607)
4170,Compound(5737524)
4171,Compound(4077767)
4172,Compound(45488982)
4173,Compound(42720744)
4174,Compound(775697)
4175,Compound(662547)
4176,Compound(5130260)
4177,Compound(1607207)
4178,Compound(3344725)
4179,Compound(1149460)
4180,Compound(460747)
4181,Compound(20851700)
4182,Compound(2829120)
4183,Compound(3276541)
4184,Compound(16237524)
4185,Compound(2790771)
4186,Compound(738911)
4187,Compound(4639370)
4188,Compound(45488983)
4189,Compound(649672)
4190,Compound(414306)
4191,Compound(135420505)
4192,Compound(1047585)
4193,Compound(755182)
4194,Compound(45488984)
4195,Compound(4348899)
4196,Compound(2903171)
4197,Compound(20859555)
4198,Compound(45488985)
4199,Compound(984664)
4200,Compound(135480977)
4201,Compound(3433074)
4202,Compound(3185927)
4203,Compound(3614497)
4204,Compound(1471795)
4205,Compound(3147878)
4206,Compound(3454585)
4207,Compound(948954)
4208,Compound(2961878)
4209,Compound(45488986)
4210,Compound(5709760)
4211,Compound(4578321)
4212,Compound(45488988)
4213,Compound(2741723)
4214,Compound(2747366)
4215,Compound(45488989)
4216,Compound(42743625)
4217,Compound(5702380)
4218,Compound(4449155)
4219,Compound(22513453)
4220,Compound(186645)
4221,Compound(52944175)
4222,Compound(3578178)
4223,Compound(803154)
4224,Compound(5190407)
4225,Compound(2135090)
4226,Compound(5108553)
4227,Compound(2227356)
4228,Compound(1587482)
4229,Compound(13076)
4230,Compound(824130)
4231,Compound(24195612)
4232,Compound(2866758)
4233,Compound(3679547)
4234,Compound(602768)
4235,Compound(2834423)
4236,Compound(3498938)
4237,Compound(45488991)
4238,Compound(52941726)
4239,Compound(1301744)
4240,Compound(45488992)
4241,Compound(6616394)
4242,Compound(45488993)
4243,Compound(1878823)
4244,Compound(45168446)
4245,Compound(17123974)
4246,Compound(2932546)
4247,Compound(22589882)
4248,Compound(45488994)
4249,Compound(2920797)
4250,Compound(1471804)
4251,Compound(4067788)
4252,Compound(3177274)
4253,Compound(4522214)
4254,Compound(45488995)
4255,Compound(2951909)
4256,Compound(16188269)
4257,Compound(3615519)
4258,Compound(16020583)
4259,Compound(4460916)
4260,Compound(45488996)
4261,Compound(1043389)
4262,Compound(16238652)
4263,Compound(3102159)
4264,Compound(4143790)
4265,Compound(713746)
4266,Compound(44756394)
4267,Compound(11921405)
4268,Compound(45488997)
4269,Compound(3095733)
4270,Compound(135517946)
4271,Compound(1823005)
4272,Compound(54581976)
4273,Compound(1063185)
4274,Compound(45488999)
4275,Compound(13120368)
4276,Compound(6624369)
4277,Compound(1471940)
4278,Compound(16207144)
4279,Compound(3117161)
4280,Compound(1096383)
4281,Compound(4088853)
4282,Compound(2835722)
4283,Compound(4454880)
4284,Compound(16670131)
4285,Compound(42743697)
4286,Compound(42743658)
4287,Compound(4646240)
4288,Compound(16017730)
4289,Compound(45489000)
4290,Compound(15992227)
4291,Compound(45489001)
4292,Compound(12377997)
4293,Compound(261675)
4294,Compound(2967036)
4295,Compound(45489002)
4296,Compound(3128984)
4297,Compound(4571224)
4298,Compound(4249238)
4299,Compound(631705)
4300,Compound(2746386)
4301,Compound(3148926)
4302,Compound(2932510)
4303,Compound(4103556)
4304,Compound(45489003)
4305,Compound(45489004)
4306,Compound(45225344)
4307,Compound(45489005)
4308,Compound(816799)
4309,Compound(697235)
4310,Compound(16021375)
4311,Compound(907638)
4312,Compound(23604540)
4313,Compound(42743668)
4314,Compound(1292624)
4315,Compound(600772)
4316,Compound(4365866)
4317,Compound(45489006)
4318,Compound(3370873)
4319,Compound(3251808)
4320,Compound(4254921)
4321,Compound(695094)
4322,Compound(4363853)
4323,Compound(793074)
4324,Compound(793074)
4325,Compound(42743656)
4326,Compound(21179478)
4327,Compound(45489007)
4328,Compound(45489008)
4329,Compound(5943060)
4330,Compound(5943060)
4331,Compound(3107524)
4332,Compound(2852007)
4333,Compound(135416607)
4334,Compound(573631)
4335,Compound(2863138)
4336,Compound(1246522)
4337,Compound(45489009)
4338,Compound(45489010)
4339,Compound(4694338)
4340,Compound(1743274)
4341,Compound(24100586)
4342,Compound(45033846)
4343,Compound(1111960)
4344,Compound(701785)
4345,Compound(45489011)
4346,Compound(15993832)
4347,Compound(4555777)
4348,Compound(54579935)
4349,Compound(3770922)
4350,Compound(4373467)
4351,Compound(3290647)
4352,Compound(13433291)
4353,Compound(5978241)
4354,Compound(5978241)
4355,Compound(5733189)
4356,Compound(3568050)
4357,Compound(15992804)
4358,Compound(5733062)
4359,Compound(3368205)
4360,Compound(3951671)
4361,Compound(24074106)
4362,Compound(11207687)
4363,Compound(604704)
4364,Compound(2065544)
4365,Compound(5015434)
4366,Compound(745514)
4367,Compound(7089055)
4368,Compound(54580915)
4369,Compound(45489012)
4370,Compound(13778183)
4371,Compound(6520114)
4372,Compound(3346191)
4373,Compound(135971377)
4374,Compound(45489013)
4375,Compound(66541)
4376,Compound(5768834)
4377,Compound(45489014)
4378,Compound(1486802)
4379,Compound(45489016)
4380,Compound(3093199)
4381,Compound(3139117)
4382,Compound(3084475)
4383,Compound(4519192)
4384,Compound(45489018)
4385,Compound(137629401)
4386,Compound(4413704)
4387,Compound(939146)
4388,Compound(7190328)
4389,Compound(45489019)
4390,Compound(15993439)
4391,Compound(42743674)
4392,Compound(45489020)
4393,Compound(679624)
4394,Compound(135400593)
4395,Compound(10345715)
4396,Compound(21584061)
4397,Compound(2773479)
4398,Compound(45489021)
4399,Compound(2866744)
4400,Compound(45489022)
4401,Compound(663995)
4402,Compound(4183536)
4403,Compound(6616262)
4404,Compound(1479667)
4405,Compound(6619166)
4406,Compound(5074754)
4407,Compound(886276)
4408,Compound(1569095)
4409,Compound(1147787)
4410,Compound(2840491)
4411,Compound(3005617)
4412,Compound(45489023)
4413,Compound(52949025)
4414,Compound(4103314)
4415,Compound(135488697)
4416,Compound(3913128)
4417,Compound(589789)
4418,Compound(45489025)
4419,Compound(45489026)
4420,Compound(3114257)
4421,Compound(1823892)
4422,Compound(44171479)
4423,Compound(42743599)
4424,Compound(45489027)
4425,Compound(45199926)
4426,Compound(1283503)
4427,Compound(4050255)
4428,Compound(45489028)
4429,Compound(2911150)
4430,Compound(1043005)
4431,Compound(45489029)
4432,Compound(5759837)
4433,Compound(5759837)
4434,Compound(45489030)
4435,Compound(45489031)
4436,Compound(1638178)
4437,Compound(16001760)
4438,Compound(42724172)
4439,Compound(20878011)
4440,Compound(703262)
4441,Compound(3656834)
4442,Compound(1077317)
4443,Compound(42743569)
4444,Compound(45226606)
4445,Compound(2854588)
4446,Compound(45489032)
4447,Compound(5767657)
4448,Compound(5767657)
4449,Compound(4355652)
4450,Compound(5085461)
4451,Compound(45489033)
4452,Compound(3141526)
4453,Compound(4294875)
4454,Compound(45489034)
4455,Compound(5926345)
4456,Compound(4169212)
4457,Compound(1067711)
4458,Compound(24761589)
4459,Compound(42709772)
4460,Compound(45489035)
4461,Compound(3531399)
4462,Compound(877520)
4463,Compound(45489036)
4464,Compound(1517819)
4465,Compound(42743582)
4466,Compound(45489037)
4467,Compound(45489038)
4468,Compound(45489039)
4469,Compound(697239)
4470,Compound(20882997)
4471,Compound(45489040)
4472,Compound(44170013)
4473,Compound(2746869)
4474,Compound(45489041)
4475,Compound(42753501)
4476,Compound(4973201)
4477,Compound(2270185)
4478,Compound(42743690)
4479,Compound(4129854)
4480,Compound(2830111)
4481,Compound(4544449)
4482,Compound(659868)
4483,Compound(45489043)
4484,Compound(787416)
4485,Compound(1011365)
4486,Compound(1403742)
4487,Compound(827130)
4488,Compound(42710319)
4489,Compound(45179114)
4490,Compound(414301)
4491,Compound(1119074)
4492,Compound(42743585)
4493,Compound(42743601)
4494,Compound(2927433)
4495,Compound(3737943)
4496,Compound(135971378)
4497,Compound(782564)
4498,Compound(42743600)
4499,Compound(414449)
4500,Compound(1489416)
4501,Compound(1960662)
4502,Compound(18867)
4503,Compound(45489044)
4504,Compound(45050064)
4505,Compound(3172640)
4506,Compound(3173868)
4507,Compound(737717)
4508,Compound(16132269)
4509,Compound(11957558)
4510,Compound(174864)
4511,Compound(16194857)
4512,Compound(2817749)
4513,Compound(45489045)
4514,Compound(1050782)
4515,Compound(836708)
4516,Compound(16240071)
4517,Compound(2744877)
4518,Compound(3239831)
4519,Compound(4042434)
4520,Compound(44169959)
4521,Compound(2919111)
4522,Compound(635734)
4523,Compound(45489047)
4524,Compound(693871)
4525,Compound(45167339)
4526,Compound(45489049)
4527,Compound(43813962)
4528,Compound(1178992)
4529,Compound(135547819)
4530,Compound(1192771)
4531,Compound(2927620)
4532,Compound(24044770)
4533,Compound(3217166)
4534,Compound(3173962)
4535,Compound(45049470)
4536,Compound(864381)
4537,Compound(3103076)
4538,Compound(2837438)
4539,Compound(11895344)
4540,Compound(3122648)
4541,Compound(4571741)
4542,Compound(1063766)
4543,Compound(4355111)
4544,Compound(1948012)
4545,Compound(45489050)
4546,Compound(45489051)
4547,Compound(6621767)
4548,Compound(5362644)
4549,Compound(4272266)
4550,Compound(45489052)
4551,Compound(1371959)
4552,Compound(1362207)
4553,Compound(2142799)
4554,Compound(3177178)
4555,Compound(1147176)
4556,Compound(5291925)
4557,Compound(45049277)
4558,Compound(4569473)
4559,Compound(45489056)
4560,Compound(45489058)
4561,Compound(3396601)
4562,Compound(45489059)
4563,Compound(45489060)
4564,Compound(5784658)
4565,Compound(3173587)
4566,Compound(45489061)
4567,Compound(42743665)
4568,Compound(11890273)
4569,Compound(42743640)
4570,Compound(3092493)
4571,Compound(42743650)
4572,Compound(42743687)
4573,Compound(67947)
4574,Compound(4284348)
4575,Compound(16819665)
4576,Compound(45160022)
4577,Compound(4139873)
4578,Compound(45489062)
4579,Compound(45489063)
4580,Compound(16681765)
4581,Compound(5915088)
4582,Compound(5708341)
4583,Compound(24817313)
4584,Compound(3122582)
4585,Compound(650864)
4586,Compound(45489064)
4587,Compound(3977922)
4588,Compound(5756566)
4589,Compound(45489065)
4590,Compound(15294225)
4591,Compound(7197588)
4592,Compound(1973096)
4593,Compound(45489066)
4594,Compound(1070581)
4595,Compound(45489067)
4596,Compound(3101087)
4597,Compound(851596)
4598,Compound(1204449)
4599,Compound(1157568)
4600,Compound(3745520)
4601,Compound(5762982)
4602,Compound(5762982)
4603,Compound(1102488)
4604,Compound(2795635)
4605,Compound(45489068)
4606,Compound(646520)
4607,Compound(45489069)
4608,Compound(45489070)
4609,Compound(5285750)
4610,Compound(414295)
4611,Compound(718103)
4612,Compound(42743671)
4613,Compound(135971379)
4614,Compound(4411517)
4615,Compound(45489072)
4616,Compound(52941727)
4617,Compound(3169319)
4618,Compound(45162258)
4619,Compound(2840092)
4620,Compound(134935)
4621,Compound(2873160)
4622,Compound(24072242)
4623,Compound(54696526)
4624,Compound(45489074)
4625,Compound(5323222)
4626,Compound(45227333)
4627,Compound(45489075)
4628,Compound(5164621)
4629,Compound(45489076)
4630,Compound(2849032)
4631,Compound(2896897)
4632,Compound(44657630)
4633,Compound(1327135)
4634,Compound(1121135)
4635,Compound(16190103)
4636,Compound(6620693)
4637,Compound(3930053)
4638,Compound(45489077)
4639,Compound(5138252)
4640,Compound(1112705)
4641,Compound(1459449)
4642,Compound(2814821)
4643,Compound(45489078)
4644,Compound(607843)
4645,Compound(1994949)
4646,Compound(1510917)
4647,Compound(22523813)
4648,Compound(45489079)
4649,Compound(714394)
4650,Compound(4432201)
4651,Compound(16003296)
4652,Compound(22549048)
4653,Compound(1986965)
4654,Compound(5726587)
4655,Compound(4667337)
4656,Compound(45489080)
4657,Compound(718105)
4658,Compound(747501)
4659,Compound(45489081)
4660,Compound(42695355)
4661,Compound(5240712)
4662,Compound(45489082)
4663,Compound(45489083)
4664,Compound(2984492)
4665,Compound(5340272)
4666,Compound(2873698)
4667,Compound(3701399)
4668,Compound(3266818)
4669,Compound(45195894)
4670,Compound(762122)
4671,Compound(4690658)
4672,Compound(3094336)
4673,Compound(1545976)
4674,Compound(3092170)
4675,Compound(16804576)
4676,Compound(2877054)
4677,Compound(5903206)
4678,Compound(45489084)
4679,Compound(943078)
4680,Compound(45489085)
4681,Compound(1916695)
4682,Compound(22549206)
4683,Compound(2928498)
4684,Compound(948543)
4685,Compound(3136815)
4686,Compound(571937)
4687,Compound(5990925)
4688,Compound(416381)
4689,Compound(1923864)
4690,Compound(807557)
4691,Compound(45489086)
4692,Compound(2884725)
4693,Compound(45489087)
4694,Compound(3091550)
4695,Compound(1900632)
4696,Compound(1923383)
4697,Compound(45489088)
4698,Compound(45489089)
4699,Compound(3119244)
4700,Compound(5061793)
4701,Compound(5793057)
4702,Compound(45231469)
4703,Compound(907073)
4704,Compound(135850180)
4705,Compound(135850180)
4706,Compound(45489090)
4707,Compound(45489091)
4708,Compound(4056509)
4709,Compound(3188502)
4710,Compound(24818963)
4711,Compound(45035813)
4712,Compound(1171810)
4713,Compound(4429007)
4714,Compound(45489092)
4715,Compound(45489093)
4716,Compound(5067028)
4717,Compound(3771236)
4718,Compound(24281534)
4719,Compound(1187199)
4720,Compound(171409)
4721,Compound(626531)
4722,Compound(42743692)
4723,Compound(3580306)
4724,Compound(1716533)
4725,Compound(1154844)
4726,Compound(1154844)
4727,Compound(1023182)
4728,Compound(16048615)
4729,Compound(22333533)
4730,Compound(45489094)
4731,Compound(45489096)
4732,Compound(45489097)
4733,Compound(14588192)
4734,Compound(45489098)
4735,Compound(9549161)
4736,Compound(2142309)
4737,Compound(3518034)
4738,Compound(45489099)
4739,Compound(4163404)
4740,Compound(3612219)
4741,Compound(45489100)
4742,Compound(44754231)
4743,Compound(1040600)
4744,Compound(45489102)
4745,Compound(248000)
4746,Compound(9875999)
4747,Compound(424523)
4748,Compound(24048350)
4749,Compound(3368584)
4750,Compound(45489103)
4751,Compound(3988039)
4752,Compound(23885521)
4753,Compound(6404644)
4754,Compound(4398842)
4755,Compound(3095439)
4756,Compound(2870836)
4757,Compound(45489104)
4758,Compound(45489105)
4759,Compound(42700605)
4760,Compound(1470715)
4761,Compound(310900)
4762,Compound(8006558)
4763,Compound(45489106)
4764,Compound(4327183)
4765,Compound(4580671)
4766,Compound(5203985)
4767,Compound(6367876)
4768,Compound(45489107)
4769,Compound(3147261)
4770,Compound(3147261)
4771,Compound(1486593)
4772,Compound(45489108)
4773,Compound(42743645)
4774,Compound(1112866)
4775,Compound(2832016)
4776,Compound(17324428)
4777,Compound(3471147)
4778,Compound(2951778)
4779,Compound(5337523)
4780,Compound(42733093)
4781,Compound(182788)
4782,Compound(4088833)
4783,Compound(22334110)
4784,Compound(1089132)
4785,Compound(1039431)
4786,Compound(4131563)
4787,Compound(16395871)
4788,Compound(20860653)
4789,Compound(3501907)
4790,Compound(5756559)
4791,Compound(20970837)
4792,Compound(45489109)
4793,Compound(42751697)
4794,Compound(45223242)
