,COMPOUND
1228,Compound(2858471)
1229,Compound(3116462)
1230,Compound(54582907)
1231,Compound(135529623)
1232,Compound(135529623)
1233,Compound(6619956)
1234,Compound(45488357)
1235,Compound(2882733)
1236,Compound(1422115)
1237,Compound(3747111)
1238,Compound(3747111)
1239,Compound(135495233)
1240,Compound(3360554)
1241,Compound(16007418)
1242,Compound(45488358)
1243,Compound(4265284)
1244,Compound(1096075)
1245,Compound(3167444)
1246,Compound(2907552)
1247,Compound(2855364)
1248,Compound(16013685)
1249,Compound(659366)
1250,Compound(4102620)
1251,Compound(45488359)
1252,Compound(1172094)
1253,Compound(3185881)
1254,Compound(4580425)
1255,Compound(3598085)
1256,Compound(45488360)
1257,Compound(819097)
1258,Compound(685423)
1259,Compound(15990000)
1260,Compound(16011726)
1261,Compound(2747368)
1262,Compound(836972)
1263,Compound(2836156)
1264,Compound(45211480)
1265,Compound(3669660)
