SMILES,target_0,target_1,target_2
C1=CC(=CN=C1)C2=NN=C3N2N=C(C=C3)SCC4=CC=C(C=C4)F,937.0,,
C1=CC(=NC(=C1)F)NNC(=O)C(F)(F)F,340.0,,
C1=CC(=O)OC2=C(C(=C(C=C21)Cl)O)Cl,233.8,,
C1=CC2=C(C(=C1)NC3=C(C=C(C4=C3N=CC=C4)[N+](=O)[O-])[N+](=O)[O-])N=CC=C2,6440.0,,
C1=CC2=C(C(=C1)OCC3=CC=C(C=C3)C(F)(F)F)C(=NC(=N2)N)N,972.0,,
C1=CC2=C(C(=C1)SC3=C(C=C(C=C3[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-])N=CC=C2,1119.0,,
C1=CC2=C(C(=O)C(=O)C3=C2C=CC=N3)N=C1,369.0,,
C1=CC2=C(C=C1Br)C3=C(N2CC(CN(CCO)CCO)O)C=CC(=C3)Br,1549.0,,
C1=CC2=C(C=C1C#N)N=C3N2C(=O)C4=CC=C5C6=C(C=CC3=C46)C(=O)NC5=O,867.0,,
C1=CC2=C(C=C1N)SC3=CC(=[NH2+])C=CC3=N2.[Cl-],142.9,,
C1=CC2=C(C=C1NC(=O)NC3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)SN=N2,4360.0,,
C1=CC2=C(C=CC3=C2C(=C1)C(=O)N3)S(=O)(=O)NC4=CC=C(C=C4)NS(=O)(=O)C5=C6C=CC=C7C6=C(C=C5)NC7=O,1250.0,,
C1=CC2=C(C=CC=C2S(=O)(=O)NCCCN(CCO)CCO)C(=C1)[N+](=O)[O-],1554.0,,
C1=CC2=C(C=CN=C2C=C1Cl)N,57.6,,
C1=CC2=C(C=CN=C2C=C1Cl)NCCCCCCN,131.9,,
C1=CC2=C(C=CN=C2C=C1Cl)NCCCCNC(=O)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,766.0,,
C1=CC2=C(C=CN=C2C=C1Cl)NCCCCNS(=O)(=O)C3=C(C=CC(=C3)Cl)Cl,338.0,,
C1=CC2=C(N=C1)N=C(N2)SCC3=CC=C(C=C3)F,4800.0,,
C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CCCCCC(=O)NO,164.0,,
C1=CC2=C3C(=CC=C4C3=C1C(=O)N(C4=O)CCCCO)C(=O)N(C2=O)CCCCO,77.4,,
C1=CC2=NC(=CC(=O)N2C=C1)CSC3=NC4=C(C(=O)N3NC(=O)C5=CC(=CC=C5)Br)SC=C4,695.0,,
